wallet_address,farmer_score,priority_tier,wallet_age_days,tx_count_before_first_inflow,token_type_diversity,inflow_to_outflow_hours,shared_funder_score,inter_tx_time_variance,unique_counterparty_count
0x268ef519edbf507ed9ff31a3eae96c82cbe1bb0b,0.0,normal,1302.5169348548602,0.0,209.0,0.013333333333333334,0.0,45540296248.36231,470.0
0xd65e87f756d0f21faceb8d32eacc509c1284f25d,0.0,normal,2137.0679534584724,3.0,336.0,0.0,0.0,130841438114.5344,869.0
0x1fcec0f5b245afa2b0ca81a785073d6f9de790bb,0.0,normal,2158.198822039537,1.0,159.0,0.01,0.0,23488874344.62014,270.0
0xd2cfeee986ae1e83fb2e6385f6d54cfedb2ea029,0.0,normal,966.3538805852196,37.0,53.0,0.0,2.70805020110221,4546696022999.235,109.0
0xd0d77e49a05bff5c3e67cfcded0b26420be518f2,1.0,deprioritize,3160.9391352229177,1.0,37.0,0.12277777777777778,0.0,83020449107642.3,49.0
0xb8d7b045d299c9c356bc5ee4fe2dddc8a31280a5,0.0,normal,2705.319621337906,5.0,284.0,0.006666666666666667,0.0,823120076190.3453,460.0
0x0ea63612bd4a5c33cfc271e8a1cfe86fb8ab8e0a,0.9997,deprioritize,276.3345753634252,1.0,17.0,0.03666666666666667,3.091042453358316,2804833432039.506,19.0
0xe0d817c734b963231a827614558d98b75f67af02,0.0,normal,1793.2447258282536,0.0,225.0,0.02,3.4339872044851463,171746747108.63785,477.0
0x814942045fa68dfb742915422b6a1c0cd96cf4fc,0.0,normal,1739.0559064766653,2.0,131.0,0.0,3.091042453358316,406594522824.06824,303.0
0x98d5731f60565aa1751a0fa6f8f6e6212a4018c4,0.0,normal,2211.0395523849543,2.0,157.0,0.009166666666666667,0.0,3215411401188.9385,168.0
0xd3e9d60e4e4de615124d5239219f32946d10151d,0.0,normal,2596.7340895020025,4.0,279.0,0.0,0.0,147427930340.92416,672.0
0xf94e5cdf41247e268d4847c30a0dc2893b33e85d,0.0,normal,3229.120432633865,205.0,236.0,0.0033333333333333335,0.0,1375090761700.1443,244.0
0xb3430b686daa829162d2aba22c815ad3b5882f00,0.0,normal,3097.3752130885423,5.0,372.0,0.0,0.0,468291371314.2474,551.0
0xea04309d1d95b994a4f4efe77ef73fd4e79d8f11,0.0,normal,2139.692377843542,0.0,376.0,0.0,0.0,42663476360.089066,937.0
0x1f1b89a30df5b95038bbab9bf09ac8d11fed3952,1.0,deprioritize,1698.003143200949,2.0,22.0,0.013333333333333334,3.1354942159291497,18422426947338.625,52.0
0x86dde43c203670adaa559a32c2f1f3162350d94f,0.0008,normal,285.3124950551159,0.0,7.0,0.11666666666666667,0.0,336267036952.0661,7.0
0x68910130b09ac5d735bce38ed931f2acbb9f58fb,1.0,deprioritize,1127.4472172782764,9.0,2.0,0.16333333333333333,0.6931471805599453,102611515065493.97,13.0
0x5d1f4f1e99a9d0866be15d7300b9ac2970e232d4,0.0,normal,1860.6789533902318,34.0,200.0,0.01,2.0794415416798357,1834823692117.7573,469.0
0x43791b25eeca0b1f8c8adee77246704efb40e978,0.0,normal,1834.8406664425356,0.0,86.0,0.0,0.0,886510005852.0388,269.0
0x1d15d4296be89c31a7276ccbe9760523034d9235,0.0006,normal,276.4574951682047,2.0,3.0,0.07,0.0,23644479536.640003,10.0
0x35134d587187c7440c56fcfd7386590875ae9062,1.0,deprioritize,1108.3006896136562,26.0,12.0,0.01,2.772588722239781,22204496570338.15,42.0
0xcaba2231bc28f0fce76fea1f97e4c9225899b4ee,0.0,normal,3170.0148215595136,0.0,199.0,0.0,0.0,1253457311290.5117,482.0
0x2b6bee0256c14cd8a674c39f68266da58ac3e7cd,0.9917,deprioritize,873.6506899926618,1.0,22.0,0.01,1.6094379124341003,1007079598844.7896,52.0
0x6396a2ace5978c4fc9ba7ac3d2d3efb6b3055461,0.0,normal,1238.7344399961223,1.0,123.0,0.0,3.091042453358316,705610001572.9391,197.0
0x230d31eec85f4063a405b0f95bde509c0d0a8b5d,0.0,normal,2167.0950418822576,1.0,78.0,0.013333333333333334,0.0,2038651026248.7783,153.0
0x68fa90978561435e88ea0c8610e3febd718b71cc,0.9988,deprioritize,487.3259678377901,5.0,19.0,0.013333333333333334,2.0794415416798357,1980512226911.1174,39.0
0xf54c5a0864c20c4a7c07dd5b5fefc86e16715053,0.0162,normal,1044.5922178395258,10.0,57.0,0.013333333333333334,2.0794415416798357,1946777644161.5115,91.0
0x1712fddc84efa346d51261f0fa5a809ff457abdc,0.0,normal,2139.539636829617,0.0,130.0,0.0,2.70805020110221,195620385610.4623,267.0
0x4d9566698ba7d7ecb958bcccb2e4e6a559153992,0.0,normal,3055.2108522567014,5.0,309.0,0.0,0.0,239740976193.20676,510.0
0x321a0b24ff60bc64dd9396a109edf53124b045a9,0.0011,normal,308.67152441249954,4.0,22.0,0.03333333333333333,0.0,462678878824.8163,24.0
0x3aa92429fa292c3d1a6b1c6ede90770e66f61177,1.0,deprioritize,2128.0597420068525,1.0,22.0,114.535,0.0,34990691886.076385,6.0
0x53ab5a24006a674bc1a9fecdfd32c21297324f45,0.0,normal,1789.4984225638184,15.0,172.0,0.0,0.0,226624027064.3896,333.0
0xa01a795d4210a50319b5da63dcc234473d2d1448,1.0,deprioritize,1713.1794874636,1.0,26.0,0.013333333333333334,4.02535169073515,9723886534072.18,58.0
0xd979bc7116d35267706fb79923354f8a4bb6802e,0.9994,deprioritize,276.33138561481405,1.0,5.0,0.07,2.833213344056216,57412432365.75,8.0
0x05198e23bf92ca47e954311925dceae7bdc3bac4,0.0006,normal,283.15958006018565,1.0,18.0,0.01,0.0,1928692895927.3904,33.0
0x30a3967b6560677da65ffda25f5475755c5e67d5,0.0002,normal,503.3962467284942,0.0,35.0,0.0,0.0,2199537919536.2153,44.0
0x7a39c61adbd6d4767d858da6ce2ae3253780ea2e,0.0,normal,283.1238856203137,56.0,2.0,0.0,0.0,836735120752.7821,41.0
0x148412d775867079de8869c4dbee374e187e69e5,1.0,deprioritize,276.3793022881007,1.0,3.0,0.11,3.091042453358316,13897619409920.0,5.0
0x448588d0441f132c5ff677fc7fc459a91c0484dc,0.0,normal,1366.420413400081,12.0,167.0,0.0,0.0,269844802542.0408,240.0
0x60c1a749c390d2e18ff84ebc17c74a28fac0c6c9,0.0,normal,1840.159684309664,8.0,60.0,0.06333333333333334,2.9444389791664403,1493507940519.447,183.0
0x1cdc37a346a7b959ca49379783f0fce6dd22f674,0.0,normal,1521.2583880222671,9.0,18.0,0.03,1.0986122886681098,4477263982910.787,87.0
0xae9885e3e9d2855d60c7373ff23f153b0ed447e1,0.6845,watch,2178.8986426541787,0.0,5.0,0.46055555555555555,0.0,605457287369.2827,11.0
0x3d15a6fb132221a149aa9235b8fa5b8f7e6f0891,1.0,deprioritize,276.3663857120827,1.0,7.0,0.01,2.0794415416798357,15960001232893.44,14.0
0x101b2bade16a5b5d053cde8bfff8e736a505daea,0.0,normal,1335.3193023796987,0.0,23.0,0.0,0.0,13284525954376.924,71.0
0x3a82439fccf0eb2ebd89193da8037984f1e0c8c5,1.0,deprioritize,1698.0063509954152,1.0,23.0,0.013333333333333334,3.1354942159291497,18266192887711.984,49.0
0x00b344cbfa61cf99c7a20fe83138a7c8c94e6d1d,1.0,deprioritize,2134.998619516216,2.0,32.0,1.386388888888889,0.0,6007208758124.427,33.0
0xf572fa974fa80d0a4058093eb8af81d8cb2bda76,0.9992,deprioritize,1716.211883409073,1.0,47.0,0.0,4.02535169073515,6129388028148.095,78.0
0x11c93eb2946ee4039ca30accff5dfc558effc965,1.0,deprioritize,276.33680239680467,2.0,2.0,2.6366666666666667,0.0,212974599792.0,5.0
0x3fcf98d01756627034d9d785cf182669be82e881,0.9999,deprioritize,1308.3823579531245,8.0,7.0,0.02666666666666667,2.0794415416798357,10833603419344.182,28.0
0xd82144330ed38bffa5a8148964e112411aa409e4,0.0,normal,1210.0086079544105,0.0,85.0,0.0,0.6931471805599453,3594908201005.5557,123.0
0xfe97421c5408268993fa27ae3a3cf98422f195f4,0.9988,deprioritize,276.39735797335703,4.0,5.0,0.06,3.295836866004329,2894036285.896194,11.0
0x6faf49871294f1955571c582fc8765aade331a2f,1.0,deprioritize,1698.0045917706027,2.0,21.0,0.016666666666666666,3.1354942159291497,18228558815598.715,51.0
0x4f97a3aa19d2a274a96d67b8777f72cc526f3f4c,0.0,normal,1412.623642698634,3.0,101.0,0.0,0.6931471805599453,530991058026.2351,210.0
0x69a10364a3051ae0665a05e6573b6ca92a79516e,0.0,normal,1943.6833070692005,1.0,42.0,0.05,0.0,3393736050650.445,70.0
0xd56ee5ba5a52e15f309108bdd6247c69b4f624c2,0.0,normal,3220.465089482952,8.0,830.0,0.0,0.6931471805599453,214113517586.22546,1235.0
0x0d9f2372682e7e39dd9ef99c588816d2587c68d6,0.0,normal,2189.0273957872223,0.0,83.0,0.01361111111111111,0.0,21924298024325.184,125.0
0xcb0fc7c4413db1ef7fee08df2095a283520cfe09,0.9966,deprioritize,276.34736108760313,1.0,13.0,0.013333333333333334,2.772588722239781,541129462535.26874,11.0
0x883750420b97aa32848069d486da29851105a0f2,0.0,normal,1338.8812499776732,2.0,95.0,0.013333333333333334,2.6390573296152584,811879779906.7501,172.0
0xfd5238db3636f84b2e2c99a12541c6817b2b5f1b,0.0,normal,2188.747476858635,4.0,200.0,0.0,2.70805020110221,8563683656.253744,290.0
0x20da9f3d7d5cb96c2822338830cfd6dee6d508d8,0.0,normal,1649.239965730417,1.0,15.0,0.03916666666666667,0.0,300698863672.5879,66.0
0xe89cc29644543eb863a21c829a4a5abcb2a0151d,1.0,deprioritize,276.34277823401544,1.0,3.0,5.95,1.791759469228055,35312136306.17751,8.0
0x593bf1d3422cf54aa07a05543d0462e27e660e29,0.036,normal,2160.984514346087,3.0,48.0,0.010555555555555556,2.0794415416798357,684815609219.0826,81.0
0x19515291d1859fa9e4bcc84d18434cd298b74ebd,0.0011,normal,276.4755560227649,1.0,2.0,0.2,0.0,129299098976.0,4.0
0x2af40bc2f3c1a8acf1a55b5874f9b65055d3e11b,0.0,normal,1719.1391208384268,25.0,109.0,0.013333333333333334,3.091042453358316,171639264683.18466,582.0
0xcafbbaefd77570c0bc747fa62311c055cb623ece,0.9684,deprioritize,1389.491019019595,0.0,22.0,0.023333333333333334,0.6931471805599453,6740909591770.026,51.0
0x4ac362fa033386f59675c6d51099add5c9fb2d1a,0.9998,deprioritize,1716.2116671697906,1.0,36.0,0.0,4.02535169073515,6378951770441.941,70.0
0xccb4ff3d7ad7ab7c3647f181565c3c61a1ed0a34,0.0,normal,1686.576308377639,21.0,28.0,0.03,0.0,3005467109776.0776,120.0
0x85cf13e557264398093b44e95a1a4b5073a01416,0.0003,normal,283.77194495482576,0.0,9.0,0.013333333333333334,0.0,101219024366.22221,7.0
0x6ede346bccd09b1fbd74c2b4a031e1e54bd58561,0.0,normal,1486.9872458809946,39.0,33.0,0.016666666666666666,0.0,3106517551872.977,107.0
0x459f9297591bb599bfd6390aef1990fa22e5bcb8,0.0,normal,1497.8928245892487,3.0,79.0,0.006666666666666667,2.772588722239781,630284772603.6324,181.0
0xabe41f5fb481c66d760f14212dceeb9580124ba3,1.0,deprioritize,1713.1805560855098,1.0,28.0,0.013333333333333334,4.02535169073515,8720492431718.519,63.0
0xd9d375c30061cd247e9691d8c4fbd660e2827b73,0.9826,deprioritize,837.3751394221877,1.0,5.0,0.03,1.6094379124341003,1173777454752.4397,28.0
0x2536ee17bf914cd6d72ec9cbf9502de9f1bbdfdf,0.0,normal,2455.3149426641894,0.0,142.0,0.0,0.0,765498338173.7109,302.0
0x69378a175749f1f5b9f5574684f3af6aab5b0018,0.0,normal,2133.8281255860543,6.0,88.0,0.058055555555555555,0.0,14414351797947.35,105.0
0x02ed7d45040fc9b930040e30a2cdbc796792035b,0.0,normal,1717.7489473866203,1.0,208.0,0.0,3.295836866004329,149183604880.33392,490.0
0x09bdff1a9d98a1fb81d982ad2b192dd49a932296,0.0,normal,2544.164919731297,2.0,96.0,0.026944444444444444,0.0,562538352768.2413,131.0
0x36e1d3b78338afffe565d50c441c77344ed78865,0.0011,normal,3160.86091517037,2.0,24.0,0.042222222222222223,0.0,39523077313207.15,45.0
0x1a4d81ee9c7d9b18bfae17f7f4e3a7649fa89e4c,1.0,deprioritize,281.60125082161966,2.0,10.0,0.02,2.0794415416798357,6074071362987.0,13.0
0xaf6ac9e4b68fb3da8fb95fac1e072a2917b4f78f,0.0,normal,2739.9532647117944,3.0,156.0,0.0,0.0,231738396669.44867,286.0
0x5522a2bf89ac33e7d26b7e28167d371cb61ce17a,0.9987,deprioritize,869.335973351399,1.0,4.0,0.09666666666666666,3.295836866004329,1728972131874.6655,21.0
